id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00004b8b,frame,615,0,769,374,,,71
00004b8c,body,43,802,766,1169,00004980,青木永遠,71
00004b8d,frame,868,603,1606,1166,,,71
00004b8e,face,1167,135,1294,275,00004964,山本光,71
00004b8f,frame,47,1,766,847,,,71
00004b90,body,963,1,1581,598,00004964,山本光,71
00004b91,frame,862,1,1598,598,,,71
00004b92,body,106,213,766,684,00004964,山本光,71
00004b93,face,1180,677,1296,806,00004980,青木永遠,71
00004b94,frame,47,700,764,1168,,,71
00004b95,body,1031,601,1605,1169,00004980,青木永遠,71
00004b96,body,87,190,766,720,00004964,山本光,71
00004b97,body,42,692,537,1165,00004964,山本光,71
